index,host,destination,start_timestamp,end_timestamp,nbytes_size,total_time
191.0,194.171.96.217,194.171.100.157,2016-05-05T00:29:19.608Z,2016-05-05T00:29:19.045Z,222249518.0,0.563
192.0,194.171.96.189,131.154.130.109,2016-05-05T00:29:06.471Z,2016-05-05T00:29:04.252Z,231921390.0,2.219
193.0,194.171.96.177,129.107.255.17,2016-05-05T00:29:34.975Z,2016-05-05T00:29:21.435Z,701133780.0,13.54
194.0,194.171.96.203,150.214.37.139,2016-05-05T00:29:37.385Z,2016-05-05T00:29:37.011Z,870165.0,0.374
195.0,194.171.96.204,192.170.227.123,2016-05-05T00:29:40.504Z,2016-05-05T00:29:19.004Z,720900846.0,21.5
196.0,194.171.96.206,192.170.227.122,2016-05-05T00:29:44.356Z,2016-05-05T00:29:19.697Z,714641758.0,24.659
197.0,194.171.96.209,150.214.37.139,2016-05-05T00:29:55.981Z,2016-05-05T00:29:55.675Z,654886.0,0.306
198.0,194.171.96.204,194.171.101.147,2016-05-05T00:30:03.194Z,2016-05-05T00:30:02.906Z,11352406.0,0.288
199.0,194.171.96.210,194.171.100.50,2016-05-05T00:30:23.039Z,2016-05-05T00:30:21.164Z,1402892356.0,1.875
200.0,194.171.96.182,194.171.101.193,2016-05-05T00:30:31.341Z,2016-05-05T00:30:25.271Z,2651048352.0,6.07
201.0,194.171.96.175,134.158.72.170,2016-05-05T00:30:28.667Z,2016-05-05T00:29:46.527Z,1119372360.0,42.14
203.0,194.171.96.204,193.109.172.47,2016-05-05T00:30:42.223Z,2016-05-05T00:29:31.812Z,3625286151.0,70.411
204.0,194.171.96.174,194.171.100.36,2016-05-05T00:31:11.596Z,2016-05-05T00:31:07.786Z,1676790409.0,3.81
205.0,194.171.96.202,141.108.39.62,2016-05-05T00:31:08.721Z,2016-05-05T00:29:48.462Z,3579276494.0,80.259
206.0,194.171.96.202,194.171.101.191,2016-05-05T00:31:15.436Z,2016-05-05T00:31:12.489Z,1390779613.0,2.947
209.0,194.171.96.186,141.108.38.138,2016-05-05T00:31:23.041Z,2016-05-05T00:29:51.335Z,3571181805.0,91.706
210.0,194.171.96.191,134.158.72.173,2016-05-05T00:31:27.213Z,2016-05-05T00:30:53.135Z,1117667743.0,34.078
211.0,194.171.96.179,194.171.101.189,2016-05-05T00:31:37.435Z,2016-05-05T00:31:37.168Z,12010563.0,0.267
212.0,194.171.96.205,194.171.101.167,2016-05-05T00:31:34.926Z,2016-05-05T00:31:28.168Z,4166548131.0,6.758
213.0,194.171.96.204,194.171.101.193,2016-05-05T00:31:39.262Z,2016-05-05T00:31:29.491Z,4181946010.0,9.771
214.0,194.171.96.181,134.79.128.10,2016-05-05T00:31:58.116Z,2016-05-05T00:12:12.287Z,3655883757.0,1185.829
215.0,194.171.96.174,134.158.72.190,2016-05-05T00:32:10.940Z,2016-05-05T00:31:52.661Z,1320513807.0,18.279
216.0,194.171.96.180,194.171.101.147,2016-05-05T00:32:12.795Z,2016-05-05T00:32:09.160Z,1389714520.0,3.635
217.0,194.171.96.210,150.214.37.139,2016-05-05T00:32:23.476Z,2016-05-05T00:32:23.327Z,606866.0,0.149
218.0,194.171.96.205,194.171.101.191,2016-05-05T00:32:58.925Z,2016-05-05T00:32:49.554Z,4185832736.0,9.371
219.0,194.171.96.189,193.109.172.20,2016-05-05T00:32:53.914Z,2016-05-05T00:32:06.022Z,3576726861.0,47.892
220.0,194.171.96.175,193.109.172.28,2016-05-05T00:33:04.796Z,2016-05-05T00:32:15.946Z,3575249120.0,48.85
221.0,194.171.96.203,145.100.48.60,2016-05-05T00:33:09.698Z,2016-05-05T00:33:09.031Z,249923637.0,0.667
222.0,194.171.96.202,193.109.172.42,2016-05-05T00:33:07.292Z,2016-05-05T00:32:15.106Z,3588254479.0,52.186
223.0,194.171.96.190,131.154.130.99,2016-05-05T00:33:40.628Z,2016-05-05T00:33:21.545Z,3762706791.0,19.083
224.0,194.171.96.204,194.171.101.163,2016-05-05T00:33:38.660Z,2016-05-05T00:33:38.383Z,11374345.0,0.277
225.0,194.171.96.173,194.171.100.23,2016-05-05T00:33:55.090Z,2016-05-05T00:33:44.878Z,2696043270.0,10.212
226.0,194.171.96.206,194.171.101.148,2016-05-05T00:34:02.907Z,2016-05-05T00:34:02.617Z,11733920.0,0.29
227.0,194.171.96.176,193.109.172.41,2016-05-05T00:34:00.729Z,2016-05-05T00:33:11.350Z,3582754012.0,49.379
228.0,194.171.96.217,194.171.100.10,2016-05-05T00:34:12.349Z,2016-05-05T00:34:05.415Z,4195757218.0,6.934
229.0,194.171.96.177,194.171.100.50,2016-05-05T00:34:16.132Z,2016-05-05T00:34:04.546Z,2670845074.0,11.586
